filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-2_STN430_I20190621_R20200109_BECU_IOP-CTD.csv;STN430;2_STN430;69.32647;-136.77635;2019-06-21 17:18;1;NA;SHINGLE POINT A;101.13;0.0227042710847627
Nunataryuk_WP4-2_STN450_I20190618_R20200109_BECU_IOP-CTD.csv;STN450;2_STN450;69.16464;-136.48641;2019-06-18 21:46;1;NA;SHINGLE POINT A;101.18;0.0256533996637165
Nunataryuk_WP4-2_STN530_I20190621_R20200109_BECU_IOP-CTD.csv;STN530;2_STN530;69.38986;-136.44179;2019-06-21 16:45;1;NA;SHINGLE POINT A;101.13;0.0227042710847627
Nunataryuk_WP4-2_STN540alt_I20190621_R20200109_BECU_IOP-CTD.csv;STN540alt;2_STN540alt;69.28942;-136.32175;2019-06-21 17:01;1;NA;SHINGLE POINT A;101.13;0.0227042710847627
Nunataryuk_WP4-2_STN550_I20190621_R20200109_BECU_IOP-CTD.csv;STN550;2_STN550;69.22626;-136.32775;2019-06-21 15:18;1;NA;SHINGLE POINT A;101.24;0.0291923539584618
Nunataryuk_WP4-2_STN565_I20190621_R20200109_BECU_IOP-CTD.csv;STN565;2_STN565;69.36257;-135.88754;2019-06-21 19:33;1;NA;SHINGLE POINT A;100.96;0.0126772339163201
Nunataryuk_WP4-2_STN620_I20190627_R20200109_BECU_IOP-CTD.csv;STN620;2_STN620;69.47458;-133.72744;2019-06-27 19:46;1;NA;TUKTOYAKTUK A;101.98;0.072839456926979
Nunataryuk_WP4-2_STN630_I20190627_R20200109_BECU_IOP-CTD.csv;STN630;2_STN630;69.44676;-133.80917;2019-06-27 19:27;1;NA;TUKTOYAKTUK A;102;0.0740191083585611
Nunataryuk_WP4-2_STN740_I20190627_R20200109_BECU_IOP-CTD.csv;STN740;2_STN740;69.4017;-133.85444;2019-06-27 17:15;1;NA;TUKTOYAKTUK A;102.04;0.0763784112217243
Nunataryuk_WP4-2_STN800_I20190624_R20200109_BECU_IOP-CTD.csv;STN800;2_STN800;69.59377;-133.44488;2019-06-24 15:18;1;NA;TUKTOYAKTUK A;101.48;0.0433481711374402
