"Profile_ID";"filename";"station_name";"lat_dec_deg";"lon_dec_deg";"date_heure_UTC";"date_heure_MDT";"flag_qc";"EC_Press_dbar_val";"tare_depth";"comment";"closest_EC_sector"
50;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d01.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
51;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d02.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
52;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d03.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
53;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d04.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
54;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d05.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
55;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d06.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
56;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d07.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
57;"Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d08.csv";"st830";69.43212;-133.65637;"2019-04-27 17:26:00";"2019-04-27 11:26:00";1;103.2;0.144798194253454;NA;"TUKTOYAKTUK A"
58;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d01.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
59;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d02.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
60;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d03.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
61;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d04.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
62;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d05.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
63;"Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d06.csv";"st840";69.39828;-133.80961;"2019-04-28 18:30:00";"2019-04-28 12:30:00";1;103.39;0.156004882853479;NA;"TUKTOYAKTUK A"
64;"Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d01.csv";"st850";69.36778;-133.89382;"2019-04-25 20:31:00";"2019-04-25 14:31:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
65;"Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d02.csv";"st850";69.36778;-133.89382;"2019-04-25 20:31:00";"2019-04-25 14:31:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
66;"Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d03.csv";"st850";69.36778;-133.89382;"2019-04-25 20:31:00";"2019-04-25 14:31:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
67;"Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d01.csv";"st860";69.35339;-133.92841;"2019-04-25 18:46:00";"2019-04-25 12:46:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
68;"Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d02.csv";"st860";69.35339;-133.92841;"2019-04-25 18:46:00";"2019-04-25 12:46:00";1;102.85;0.124154294200777;NA;"TUKTOYAKTUK A"
