filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;EC_Press_dbar_val;tare_depth;comment;closest_EC_sector;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-3_st1040_I20190802_R20200109_BECU_IOP-CTD.csv;STN1040;3_STN1040;69.61379;-133.33399;2019-08-02 17:17;1;101.36;0.0362702625479505;NA;TUKTOYAKTUK A;07.5;08.5;28.0;29.0;1
Nunataryuk_WP4-3_st1050_I20190802_R20200109_BECU_IOP-CTD.csv;STN1050;3_STN1050;69.57649;-133.36045;2019-08-02 17:59;1;101.38;0.0374499139795317;NA;TUKTOYAKTUK A;08.0;09.5;27.0;28.0;1
Nunataryuk_WP4-3_st1060_I20190802_R20200109_BECU_IOP-CTD.csv;STN1060;3_STN1060;69.47456;-133.43083;2019-08-02 19:09;1;101.35;0.0356804368321599;NA;TUKTOYAKTUK A;11.0;14.5;12.0;21.0;1
Nunataryuk_WP4-3_st125_I20190728_R20200109_BECU_IOP-CTD.csv;STN125;3_STN125;69.12919;-137.80598;2019-07-28 09:17;1;100.30;-0.0262512633258716;NA;SHINGLE POINT A;0.0;10.0;20.0;35.0;1
Nunataryuk_WP4-3_st130_I20190728_R20200109_BECU_IOP-CTD.csv;STN130;3_STN130;69.07138;-137.46127;2019-07-28 07:56;1;100.31;-0.025661437610081;NA;SHINGLE POINT A;0.0;10.0;20.0;35.0;1
Nunataryuk_WP4-3_st135_I20190728_R20200109_BECU_IOP-CTD.csv;STN135;3_STN135;69.03968;-137.38966;2019-07-28 10:49;1;100.34;-0.0238919604627084;NA;SHINGLE POINT A;2.0;10.0;20.0;32.0;1
Nunataryuk_WP4-3_st140-alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN140alt;3_STN140alt;69.01895;-137.32937;2019-07-26 18:59;1;100.23;-0.0303800433364074;NA;SHINGLE POINT A;4.0;12.0;18.0;25.0;1
Nunataryuk_WP4-3_st150-alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN150alt;3_STN150alt;68.9879;-137.04242;2019-07-26 18:15;1;100.23;-0.0303800433364074;NA;SHINGLE POINT A;8.0;15.0;0.00;25.0;1
Nunataryuk_WP4-3_st330_I20190728_R20200109_BECU_IOP-CTD.csv;STN330;3_STN330;69.2044;-137.01046;2019-07-28 07:04;1;100.32;-0.0250716118942904;NA;SHINGLE POINT A;9.5;12.5;14.0;20.0;1
Nunataryuk_WP4-3_st340-alt_I20190728_R20200109_BECU_IOP-CTD.csv;STN340alt;3_STN340alt;69.15125;-136.86346;2019-07-28 06:31;1;100.32;-0.0250716118942904;NA;SHINGLE POINT A;7.5;11.0;15.0;22.0;1
Nunataryuk_WP4-3_st350_I20190728_R20200109_BECU_IOP-CTD.csv;STN350;3_STN350;69.11094;-136.79286;2019-07-28 06:06;1;100.32;-0.0250716118942904;NA;SHINGLE POINT A;10.0;15.0;2.0;18.0;1
Nunataryuk_WP4-3_st360_I20190726_R20200109_BECU_IOP-CTD.csv;STN360;3_STN360;68.99806;-136.48368;2019-07-26 17:13;1;100.22;-0.030969869052198;NA;SHINGLE POINT A;14.0;15.0;0.10;0.20;1
Nunataryuk_WP4-3_st370-alt_I20190726_R20200109_BECU_IOP-CTD.csv;STN370alt;3_STN370alt;68.95329;-136.25914;2019-07-26 16:36;1;100.22;-0.030969869052198;NA;SHINGLE POINT A;14.0;15.0;0.00;0.25;1
