filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d05.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d06.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st850_I20190425_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st860_I20190425_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d02.csv;3;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st870_I20190425_R20200109_BECU_IOP-CTD-d03.csv;3;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-2_st030_I20190627_R20200109_BECU_IOP-CTD-d01.csv;11;loess;0.10;10.0;12.0;0.10;0.20;1
Nunataryuk_WP4-2_st030_I20190627_R20200109_BECU_IOP-CTD-u01.csv;11;loess;0.10;10.0;12.0;0.10;0.20;0
Nunataryuk_WP4-2_st040_I20190627_R20200109_BECU_IOP-CTD-d01.csv;7;loess;0.07;12.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st040_I20190627_R20200109_BECU_IOP-CTD-u01.csv;7;loess;0.07;12.0;14.0;0.10;0.20;0
Nunataryuk_WP4-2_st110_I20190619_R20200109_BECU_IOP-CTD-d01.csv;11;spline;0.06;-1.5;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st120_I20190619_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.02;-1.5;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st140-alt_I20190621_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;-1.5;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st150-alt_I20190618_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;10.0;12.0;-0.05;1.0;1
Nunataryuk_WP4-2_st1030_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.03;5.0;10.0;18.0;25.0;1
Nunataryuk_WP4-2_st1030_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.03;5.0;10.0;18.0;25.0;0
Nunataryuk_WP4-2_st1040_I20190627_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.03;5.0;10.0;18.0;25.0;1
Nunataryuk_WP4-2_st1040_I20190627_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.03;5.0;10.0;18.0;25.0;0
Nunataryuk_WP4-2_st1050_I20190627_R20200109_BECU_IOP-CTD-d01.csv;9;loess;0.04;7.0;11.0;13.0;20.0;1
